household_id,util_drivers_2,util_drivers_3,util_drivers_4_up,util_persons_16_17,util_persons_18_24,util_persons_25_34,util_presence_children_0_4,util_presence_children_5_17,util_num_workers_clip_3,util_hh_income_0_30k,util_hh_income_30_75k,util_hh_income_75k_up,util_density_0_10_no_workers,util_density_10_up_no_workers,util_density_0_10_workers,util_density_10_up_workers,util_asc,util_asc_san_francisco,util_asc_solano,util_asc_napa,util_asc_sonoma,util_asc_marin,util_retail_auto_no_workers,util_retail_auto_workers,util_retail_transit_no_workers,util_retail_transit_workers,util_retail_non_motor_no_workers,util_retail_non_motor_workers,util_auto_time_saving_per_worker
1307774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,9.600000000000001,0.0,0.0,0.0,10.0,35.522048134388626,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.090359687805176,0.0,7.4556732177734375,0.0,7.615859508514404,0.04916667193174362
1451940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,45.0,11.049999999999997,0.0,0.0,10.0,11.802041295787618,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.089946746826172,0.0,7.309933662414551,0.0,7.087462425231934,0.26830166578292847
110274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,4.880233491040455,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.113121032714844,0.0,8.016602516174316,0.0,8.463232040405273,0.12835916876792908
2835246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.448375158798225,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.853164672851562,0.0,4.935244083404541,0.0,5.454954624176025,0.0,0.0
1082417,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,6.7713771448989,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.969559669494629,0.0,6.589463233947754,0.0,6.567177772521973,0.4981845219930013
1645765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,45.0,14.0,0.0,0.0,10.0,5.873052483269998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.041515350341797,0.0,6.144866943359375,0.0,6.836255073547363,0.4298767149448395
2766406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.873052483269998,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.041515350341797,0.0,6.144866943359375,0.0,6.836255073547363,0.0,0.0
2241458,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,30.0,45.0,37.0,0.0,0.0,10.0,4.4188238701996365,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.015519142150879,0.0,6.65726375579834,0.0,6.621784687042236,0.35901665687561035
824764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,10.009999999999998,0.0,0.0,0.0,10.0,7.599178190438561,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.085847854614258,0.0,7.756522178649902,0.0,7.961137294769287,0.26572585105895996
1451714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,33.5,0.0,0.0,0.0,10.0,30.439659905784993,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.137962341308594,0.0,7.308551788330078,0.0,7.344348430633545,0.14491666853427887
32332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.3,0.0,0.0,10.0,30.439659905784993,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.137962341308594,0.0,7.308551788330078,0.0,7.344348430633545,0.0,0.0
